datatype	api_property	api_association_individual	api_association_group	api_root
primary_key	dealId			
float	amount			
string			associatedCompanyIds	
datetime	closedate			
text	closed_won_reason			
datetime	createdate			
text	description			
bigint				dealId
string	dealname			
string	dealstage			
string	eso_folder			
string	forecast_category			
string		hubspot_owner_id		
string		hubspot_team_id		
datetime	hs_lastmodifieddate			
string	lead_source_category			
integer	num_associated_contacts			
datetime	hubspot_owner_assigneddate			
boolean	parking_lot			
string	pipeline			
string	practice_labels			
integer	probability_			
string	project_manager			
string	reason_lost			
string	hs_salesforceopportunityid			
string	solutions_architect			
string	specific_lead_source			
string	timeline			
